"Semester
",Course Code,Course Name,L,T,P,"Credits
",Name of the Instructor,Lecture,Tutorial,Lab,No of students,Pre-requisite,Branch,Year,tags
Both,MS 306,Principles of Business Management,3,0,0,4,Abhijit Kothari,"R1, R2 (7/209)",,,55,,ELE,,"Abhijit Kothari,MS"
Both,MS 403,Introduction to Engineering Entrepreneurship,3,0,0,4,Raj Jaswa,Tuesday and Wednesday 6:30-8pm. (7/208),,,73,,ELE,,"Raj Jaswa,MS"
Both,HS 426,Creative Writing in Practice,2,0,2,4,Arka Chattopadhyay,"N1, N2 (7/202)",,N3+R2 (7/202),25,,ELE,,"Arka Chattopadhyay,HS"
Both,BE 613,Biochemistry,3,0,0,4,Virupakshi Soppina,D (7/202),,,22,,ELE,,"Virupakshi Soppina,BE"
Both,HS 425,Introduction to Archaeology,3,0,0,4,Sharada C,H (7/209),,,60,,ELE,,"Sharada C,HS"
Both,BE 614,Biostatistics,2,0,2,4,Karla PMS,"H2, H3 (7/107)",,G1+H1(7/107),31,,ELE,,"Karla PMS,BE"
Both,HS 519,Linguistic Anthropology,3,0,0,4,Nishaant Choksi,"R1, R3 (7/203)",,,18,,ELE,,"Nishaant Choksi,HS"
Both,CH 509,General Chemistry Laboratory,0,0,4,6,"Chandrakumar Appayee, Saumyakanti Khatua and Arnab Dutta",,,"M1+N1+P1 (Mon)
M2+N2+P2 (Wed)
M3+N3+R2 (Thur)",20,,ELE,,"Chandrakumar Appayee,Saumyakanti Khatua,Arnab Dutta,CH"
Both,HS 108,Japan Studies,3,0,0,2,Shungo Kawanishi,P + R (7/105) Monday to Friday (5 to 6:30 pm),,,39,,ELE,,"Shungo Kawanishi,HS"
Both,MS 404,Neuromarketing,3,0,0,2,,,,,,,ELE,,
Even,HS 151,Economics,3,1,0,4,A Ramanathan,E (1/103),"Batch 1 N1, Batch 2 L1, Bach 3, N2, Batch 4 N3
(7/209)
",,235,,,1,"A Ramanathan,HS"
Even,MA 102,Mathematics II,3,2,0,4,"V. D. Sharma (I+T), Course associates: Pranjal Shrivastava (T), Kamalesh Saha (T), Ayush Jaiswal (T), Pramod Eyyunni (T)",F (1/103),"A1+B1 (7/101, 7/102, 7/103, 7/104, 7/105)",,211,,,1,"V. D. Sharma,MA"
Even,PH 101,Physics (In two sections),3,1,0,4,Baradhwaj Coleppa (I+T)+ Vinod Chandra (I+T),Course Associates: Gopinadhan Kalon + Sudipta Sarkar + Prasanna B + Arpan Bhattacharya,"C 
Section I: 1/102
Section II: 1/103","H1 (7/104, 7/106,7/110,7/201,7/205,7/207)",212,,,1,"Baradhwaj Coleppa, Vinod Chandra,PH"
Even,ES 104,Introduction to Analog and Digital Electronics (In two sections),3,1,0,4,"Ravi Hegde(I),Nitin Khanna(I+T), Prof. Himanshu Shekhar (T)Prof. Nitin Khanna (T) Ramandeep Kaur (T)Rutu Amit Patel (T)Rahul Madbhavi (T)","D (1/101, 1/102)"," B2(7/102, 7/106, 7/107,7/202 7/203)",,224,,,1,"Ravi Hegde,Nitin Khanna,ES"
Even,ES 105,Electrical and Electronics Lab,0,0,4,2,Rajendran and Shanmuganathan,,,"[2 pm -6 pm]                Batch 1(K1+M1+N1+P1)
Batch 2(L1+J1+R1)
Batch 3(K3+M3+N3+R2)
Batch 4(J2+L2+R3)  ",216,,,1,"Rajendran,Shanmuganathan,ES"
Even,ES 106,Manufacturing and Workshop Practice,2,0,3,4,Madhu Vadali,"G1, G2 (1/103)",,"[2 pm -6 pm]                      Batch 1(L1+J1+R1)
Batch 2(K2+M2+N2)
Batch 3(K3+M3+N3)
Batch 4(J2+L2+R3)
Batch 5(K1+M1+N1)",204,,,1,"Madhu Vadali,ES"
Even,CH 202,Chemistry Laboratory,0,0,4,2,Sudhanshu Sharma and Bhaskar Datta,,,"[2 pm -6 pm]            Batch 1(K2+M2+N2+P2)
Batch 2(K3+M3+N3+R2)
Batch 3(J2+L2+R3)
Batch 4(K1+M1+N1+P1)
Batch 5(L1+J1+R1)",208,,,1,"Sudhanshu Sharma,Bhaskar Datta,CH"
Even,FP 101,Introduction to Engineering,0,0,2,1,Jaichander Swaminathan,G3+I3 (1/103),,,204,,,1,"Jaichander Swaminathan,FP"
Even,PE 102,Physical Education,0,0,0,0,,,,,207,,,1,
Even,HS 201,World Civilizations and Cultures,3,0,0,4,Madhumita Sengupta (Section I) and Mona Mehta (Section II),"G 
(Section I 1/101, Section II 1/102)",,,200,,,2,"Madhumita Sengupta,Mona Mehta,HS"
Even,MA 202,Mathematics IV,3,2,0,4,"Chetan D. Pahlajani (I+T), Dilip Sundaram (I+T ); Course associates: Rajat Gupta (T), Shivam Dhama (T),",D (1/103),"J2+L2 (1/003, 7/204, 7/206, 7/209, 7/210)
",,187,,,2,"Chetan D. Pahlajani, Dilip Sundaram; Course associates: Rajat Gupta,MA"
Even,ES 202,Introduction to Materials,3,1,0,4,"Superb Misra (I), Abhijit Mishra (T), Emila Panda (T), Pradipta Ghosh (T)",H (1/103),"I3 (7/205, 7/104,7/106, 7/110)",,175,,"CS,CL,CE,ME,EE",2,"Superb Misra,ES"
Even,ES 221,Mechanics of Solids,3,2,0,4,Ravi Ayyagari (I),Ashwini Kumar (T),Jayaprakash K R (T)," Amit Arora (T), Manish Kumar (T)    M1, M3(1/101, 7/201, 7/202, 7/203)",114,E(1/101),"CE,CL,ME,MSE
",2,"Ravi Ayyagari,ES"
Even,ES 212,Fluid Mechanics,3,2,0,4,Pranab Mohapatra (I + T)Prachi Thareja (T)Vinod  Narayanan (T)  Sriharita Rowthu (T),C (1/101),"N1+P1
 (1/101, 7/201, 7/202, 7/203)",,125,,"CE,CL,ME,MSE",2,"Pranab Mohapatra,Prachi Thareja,Vinod  Narayanan,Sriharita Rowthu,ES"
Even,CL 251,Chemical Engineering Lab I (Fluid Mechanics Lab),0,0,4,2,Prachi Thareja (I),,,"L1+J1
",33,,CL,2,"Prachi Thareja,CL"
Even,ES 216,"Signals, Systems, and Networks",3,1,0,4,Himanshu Shekhar (I+T),A (7/209),R3 (7/209),,56,,EE,2,"Himanshu Shekhar,ES"
Even,EE 331,Electrical Machines,3,1,0,4,Ragavan (I+T),E (7/101),N1 (7/205),,40,,EE,2,"Ragavan,EE"
Even,CE 202,Sustainability and Environment,1,0,3,3,"Vimal Mishra (I) , Udit Bhatia (L)",F2 (7/206),,L1+J1 (7/206),27,,CE,2,"Vimal Mishra,CE"
Even,MSE 201 (N),Phase Transformation and Phase Equilibrium,3,0,2,5,Abhay Gautam (I+L),F (7/203),,"J1+L1, M2+N2 (MSE LAB)",19,,MSE,2,"Abhay Gautam,MSE"
Even,MSE 309,Material Thermodynamics and Kinetics,3,1,0,4,Raghavan Ranganathan and SP Mehrotra (I+T),H (7/101),I3 (7/101),,18,,MSE,2,"Raghavan Ranganathan,SP Mehrotra,MSE"
Even,ES 301,Data Structures and Algorithms II,3,1,0,4,Manoj Gupta(I+T),B (7/208),M2 (7/208),,56,ES 242: Data Structure  and Algorithms I,CS,2,"Manoj Gupta,ES"
Even,ES 214,Discrete Mathematics,3,1,0,4,Neeldhara Misra (I+T),K (7/208),R1 (7/208),,42,,CS,2,"Neeldhara Misra,ES"
Even,ES 215,Computer Organisation and Architecture,3,1,0,4,Joycee Mekie (I+T),C (7/208),"M3, N3(7/210)",,62,ES 203 Digital Systems,CS,2,"Joycee Mekie,ES"
Even,CL 321,Separation Processes,3,2,0,4,Kaustubh Rane (I + T),C (7/202),"D3,I3 (7/202)",,29,,CL,3,"Kaustubh Rane,CL"
Even,CL 422,Process Control,3,1,0,4,Sameer Dalvi (I + T),E (7/205),D1 (7/205),,27,,CL,3,"Sameer Dalvi,CL"
Even,CL 424,Process Analysis and Simulation,1,1,4,3,Chinmay Ghoroi (I + T + L),,,J1+L1+R1 (7/108),27,,CL,3,"Chinmay Ghoroi,CL"
Even,CL 352,Chemical Engineering Lab -III (Mass Transfer and Reaction Engineering Lab),0,0,4,2,Pratyush Dayal (I),,,"
J2+L2+R3 (Chem Engg Lab)",29,ES-311: Heat & Mass Transfer,CL,3,"Pratyush Dayal,CL"
Even,CE 304,Concrete Design,3,1,0,4,Dhiman Basu (I+T),E (7/102),K2 (7/102),,22,,CE,3,"Dhiman Basu,CE"
Even,CE 305,Steel Design (Half-semester : first half),2,1,0,2,Gaurav (I+T),F (7/102),D3 (7/101),,22,,CE,3,"Gaurav,CE"
Even,CE 307,Masonary Design (Half-semester : second half),2,1,0,2,Manish Kumar (I+T),F (7/102),D3 (7/101),,25,,CE,3,"Manish Kumar,CE"
Even,CE 306,Civil Engineering Materials Lab,0,0,4,2,Ravi Kanth (I),,,J1+L1+R1,23,,CE,3,"Ravi Kanth,CE"
Even,CE 309,Field Survey Project,0,0,0,2,"Vikrant Jain, Vimal Mishra",,,,23,,CE,3,"Vikrant Jain,Vimal Mishra,CE"
Even,CE 403,Construction Technology and Management,3,0,0,4,Reshma Shah,,,,22,,CE,4,"Reshma Shah,CE"
Even,CS 327,Compilers,3,0,2,5,Bireswar Das (I+L),E (7/103),,G1+H1 (7/108),42,"Data Structures and Algorithms-I (ES 242or equivalent), Basics of Regular languages and context free languages.",CS,3,"Bireswar Das,CS"
Even,CS 328,Introduction to Data Science,3,1,0,4,Anirban Dasgupta (I+T),N (7/208),R1 (7/209),,55,"Data Structures and Algorithms-I (ES 242 or equivalent), Probability and Statistics (MA 202 or equivalent)",CS,3,"Anirban Dasgupta,CS"
Even,ES 332,Control Theory,3,1,0,4,Babji Srinivasan (I+T) Madhu Vadali (T),E (7/208),H1 (7/208),,77,,"EE,ME",3,"Babji Srinivasan,Madhu Vadali,ES"
Even,EE 333,Power Electronics,2,1,3,4,Rajendran (I+T) Ragavan(L),"G1, G2 (7/101)",G3 (7/101),"Batch 1 (K2+M2+N2)
Batch 2 (5 PM to 8PM)",28,,EE,3,"Rajendran Ragavan,EE"
Even,EE 341,Communication Systems,3,1,0,4,Arup (I+T),C (7/101),D2 (7/101),,37,,EE,3,"Arup,EE"
Even,ES 333,Microprocessors and Embedded Systems,2,1,2,4,Joycee (I+T + L),"F1, F2 (7/208)",F3 (7/208),J1+L1 (7/109),41,,EE,3,"Joycee,ES"
Even,ME 361,"Integrated Design and Manufacturing I
",0,1,4,2,N. Ramakrishnan (T + I),,G1(7/201),"G3+I3, J2+L2 (7/201)",33,,ME,3,"N. Ramakrishnan,ME"
Even,ME 322,Synthesis and Analysis of Mechanisms,2,1,2,4,Vineet Vashista (I+T + L),"F1, F3 (7/201)",F2(7/201),R2 (7/201),37,,ME,3,"Vineet Vashista,ME"
Even,ME 332,Industrial Engineering and Operations Research,3,1,0,4,N. Ramakrishnan (I+T),D (7/201),H2(7/201),,40,,ME,3,"N. Ramakrishnan,ME"
Even,ME 352,Mechanical Engineering Laboratory II,0,0,4,2,Harish PM (I),,,J1+L1+R1,35,,ME,3,"Harish PM,ME"
Even,MSE 302,Corrosion and Degradation of Materials,3,0,0,4,Amit Arora,C (7/110),,,23,,MSE,3,"Amit Arora,MSE"
Even,MSE 307,Materials Processing,3,0,0,4,Pradipta Ghosh,E (7/110),,,23,,MSE,3,"Pradipta Ghosh,MSE"
Even,MSE 352,Material Characterization Techniques,2,0,3,4,"Emila (I), ","F1, F2 (7/110)",,"Monday 1 to 6PM
",22,,MSE,3,"Emila,MSE"
